,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
initial,dugonu,nuba,kinaba,nidu,patu,pimo,moda,tanopo,toga,damuti,madune,meto,bumepa,budute,gitibo,dino,kimi,bena,detabe,nape,biku,tamode,katu,gikana,puki,daki,gunapo,nikipe,mabu,tunuma
Chengyuan Ma,muti,denuti,kibu,kitu,kipatu,kikimi,kituka,demuki,demuki,demubi,panuta,kinu,buguna,pupeki,putu,kigo,panu,kitu,kinu,piku,konuba,dupede,matu,pipatu,putu,pituka,butu,dunuma,konuba,kimuba
Alice,mite,mito,bobo,goko,kege,kite,kepe,kiti,meki,miko,pate,deguni,nupude,geka,kuge,kune,kuge,kepa,magute,mate,manugu,magubu,gugu,gutu,putu,kupe,kugu,muke,bemudu,manute
bella,meki,mite,pito,gito,gitu,kite,kito,kiti,miko,mito,miko,pute,guge,gitu,guto,kamu,kamu,keto,miku,muga,manuge,gumato,gutuna,guke,gutu,kuma,kumuga,mukati,muguna,mako
angela,kite,mite,pito,gitu,gito,kite,pito,kite,mite,kite,nuga,nuga,manuga,gito,gutuna,pito,kamu,kamu,kamu,meki,manuga,muga,gutuna,gutuna,gitu,gutuna,kamo,kamu,kamu,manuga
oliver,miniga,kite,tiki,kiti,kiti,kite,pite,kite,pite,kite,manuga,tema,kemu,kemo,pata,peta,kita,kiti,maniga,mini,managa,gata,gatana,gutuno,gutuno,pete,kata,pute,manuno,manuga
Bard,biti,bigi,bagato,baku,kito,pite,kimi,kimi,bakuto,kimi,bako,bageto,baguta,kemo,kemo,kepa,pita,peta,pupa,baputo,baguto,baguta,gamuta,gomatu,gutato,gamutu,peguta,pipatu,gitatu,bago
Cedric,biki,kibi,kebo,kemo,kego,kigi,kipi,kigi,kimi,bigi,bapato,batuto,gomutu,geto,gopoto,pumoto,pogoto,beko,pomutu,bepo,bapato,baguto,gumuto,gomato,gumoto,poputo,pumatu,potato,pumutu,batuto
Jiaxu,bigi,tigi,toguto,niki,mogoto,piki,poputo,miki,daki,bigi,doguto,bogoto,taguto,pegoto,mogoto,pupato,potato,pogoto,deguto,bagoto,goguto,boguto,koguto,mogoto,gutato,poguto,poguto,buguto,peguto,bagato
Celinda Zhu,buguto,tiki,toguto,puputo,puputo,mukuto,mukuto,miki,bukuto,bigi,pokuto,tokuto,tokuto,poputo,poputo,peputo,mokuto,mokuto,gubuto,buguto,boguto,boguto,boguto,meguto,poputo,muguto,moguto,gobuto,gobuto,boguto
tony,bopoto,miki,tokuto,tokoto,pomuto,mikuto,popoto,miki,miki,miki,bokoto,tokuto,toguto,mogoto,mugoto,poputo,puputo,poputo,poguto,bukoto,mukuto,tukuto,tuguto,muguto,muguto,puguto,puguto,guguto,pomuto,bokuto
nihao,bobotu,bobobo,popupo,pomotu,momumo,momo,momomu,momomo,bomo,bopomo,bobu,popupu,poputu,pomu,pumu,momu,momumu,momu,bomutu,bobuto,bubu,bububu,bupumu,pumutu,bupumu,mumu,bupumu,mumu,bumutu,bumu
